Rating,Problem Name,Tags,ContestID,Index
800,Turtle Puzzle: Rearrange and Negate,greedy;math;sortings,1933,A
2300,Moving Platforms,graphs;math;number theory;shortest paths,1932,G
1900,Feed Cats,data structures;dp;sortings,1932,F
1600,Final Countdown,implementation;math;number theory,1932,E
1400,Card Game,greedy;implementation,1932,D
1400,LR-remainders,brute force;data structures;implementation;math;two pointers,1932,C
1100,Chaya Calendar,number theory,1932,B
800,Thorns and Coins,dp;greedy;implementation,1932,A
2000,One-Dimensional Puzzle,combinatorics;math;number theory,1931,G
1700,Chat Screenshots,combinatorics;dfs and similar;graphs,1931,F
1400,Anna and the Valentine's Day Gift,games;greedy;math;sortings,1931,E
1300,Divisible Pairs,combinatorics;math;number theory,1931,D
1000,Make Equal Again,brute force;greedy;math,1931,C
800,Make Equal,greedy,1931,B
800,Recovering a Small String,brute force;strings,1931,A
3500,Counting Is Fun,combinatorics,1930,I
3300,Interactive Mex Tree,constructive algorithms;dfs and similar;interactive;trees,1930,H
3100,Prefix Max Set Counting,data structures;dp;trees,1930,G
2700,Maximize the Difference,bitmasks;brute force;dfs and similar,1930,F
2400,2..3...4.... Wonderful! Wonderful!,combinatorics;dp;math,1930,E
2100,Sum over all Substrings (Hard Version),bitmasks;divide and conquer;dp;dsu;greedy;implementation;strings,1930,D2
1800,Sum over all Substrings (Easy Version),brute force;dp;greedy;strings,1930,D1
1700,Lexicographically Largest,binary search;constructive algorithms;data structures;greedy;sortings,1930,C
1000,Permutation Printing,brute force;constructive algorithms;math,1930,B
800,Maximise The Score,greedy;sortings,1930,A
2300,Sasha and the Wedding Binary Search Tree,brute force;combinatorics;data structures;dfs and similar;math;trees,1929,F
2300,Sasha and the Happy Tree Cutting,bitmasks;brute force;dfs and similar;dp;graphs;greedy;math;trees,1929,E
1900,Sasha and a Walk in the City,combinatorics;dp;math;trees,1929,D
1400,Sasha and the Casino,binary search;brute force;constructive algorithms;games;greedy;math,1929,C
800,Sasha and the Drawing,constructive algorithms;greedy;math,1929,B
800,Sasha and the Beautiful Array,constructive algorithms;greedy;math;sortings,1929,A
2900,Digital Patterns,combinatorics;data structures;implementation;math,1928,F
2300,Modular Sequence,brute force;constructive algorithms;dp;graphs;greedy;math;number theory,1928,E
1900,Lonely Mountain Dungeons,brute force;data structures;greedy;math;ternary search,1928,D
1600,Physical Education Lesson,brute force;math;number theory,1928,C
1200,Equalize,binary search;greedy;sortings;two pointers,1928,B
800,Rectangle Cutting,geometry;math,1928,A
2300,Paint Charges,data structures;dp;greedy;math,1927,G
1900,Microcycle,data structures;dfs and similar;dsu;graphs;greedy;implementation;sortings;trees,1927,F
1400,Klever Permutation,constructive algorithms;math;two pointers,1927,E
1300,Find the Different Ones!,binary search;brute force;data structures;dp;dsu;greedy;two pointers,1927,D
1000,Choose the Different Ones!,brute force;greedy;math,1927,C
900,Following the String,constructive algorithms;greedy;strings,1927,B
800,Make it White,greedy;strings,1927,A
1900,Vlad and Trouble at MIT,dfs and similar;dp;flows;graphs;greedy;implementation;trees,1926,G
2200,Vlad and Avoiding X,bitmasks;brute force;dfs and similar;dp;implementation,1926,F
1500,Vlad and an Odd Ordering,binary search;bitmasks;data structures;dp;implementation;math;number theory,1926,E
1300,Vlad and Division,bitmasks;greedy,1926,D
1200,Vlad and a Sum of Sum of Digits,dp;implementation,1926,C
800,Vlad and Shapes,geometry;implementation,1926,B
800,Vlad and the Best of Five,implementation,1926,A
1900,Good Trip,combinatorics;dp;math;probabilities,1925,D
1200,A Balanced Problemset?,brute force;greedy;math;number theory,1925,B
800,We Got Everything Covered!,constructive algorithms;greedy;strings,1925,A
3500,Anti-Proxy Attendance,constructive algorithms;dp;interactive;ternary search,1924,F
